hierarchy_id,child_id,parent_id
201,E01004086,E02000858
201,E01004088,E02000858
201,E01004089,E02000858
201,E01004083,E02000858
201,E01004085,E02000863
201,E01004087,E02000856
201,E01004093,E02006836
201,E01004094,E02006836
201,E01004095,E02006836
201,E01004092,E02000861
201,E01004096,E02000860
201,E01004090,E02000860
201,E01004091,E02000861
201,E01004102,E02000854
201,E01004099,E02000854
201,E01004101,E02000852
201,E01004103,E02000852
201,E01004100,E02000854
201,E01004097,E02000854
201,E01004098,E02000854
201,E01004109,E02000863
201,E01004106,E02000861
201,E01004108,E02000863
201,E01004104,E02000859
201,E01004105,E02000861
201,E01004107,E02000859
201,E01004115,E02000848
201,E01004112,E02000855
201,E01004110,E02000855
201,E01032623,E02006836
201,E01004114,E02006836
201,E01004111,E02000855
201,E01004116,E02000847
201,E01004121,E02000845
201,E01004120,E02000855
201,E01004119,E02000848
201,E01004122,E02000847
201,E01004117,E02000845
201,E01004118,E02000848
201,E01004123,E02000841
201,E01004125,E02000840
201,E01004124,E02000841
201,E01004126,E02000841
201,E01004127,E02000844
201,E01004129,E02000841
201,E01004128,E02000841
201,E01004136,E02000842
201,E01004133,E02000848
201,E01004130,E02000842
201,E01004132,E02000848
201,E01004134,E02000842
201,E01004135,E02000842
201,E01004131,E02000842
201,E01004139,E02000852
201,E01004141,E02000851
201,E01004138,E02000852
201,E01004142,E02000851
201,E01004137,E02000851
201,E01004143,E02000853
201,E01004140,E02000851
201,E01004144,E02000846
201,E01004147,E02000846
201,E01004146,E02000846
201,E01004149,E02000851
201,E01004148,E02000853
201,E01004145,E02000846
201,E01004154,E02000861
201,E01004150,E02000860
201,E01004153,E02000860
201,E01004155,E02000857
201,E01004151,E02000860
201,E01004152,E02000857
201,E01004159,E02000853
201,E01004161,E02000853
201,E01004156,E02000857
201,E01004158,E02000857
201,E01004157,E02000855
201,E01004160,E02000853
201,E01004162,E02000857
201,E01004166,E02000843
201,E01004163,E02000844
201,E01004164,E02000843
201,E01004167,E02000844
201,E01004168,E02000852
